,title,category,description,current_funding_amount,percentage,target_funding_amount,supporter
3413,<잉여특공대> 모과 & 율서의 큐브(핑크/블루) 인형,웹툰 · 만화,네이버 인기웹툰 <잉여특공대> 모과인형 & 율서의 큐브인형 굿즈,17876001,616,29019,399
3414,사귀를 물리치다. '순은퇴마부적',예술,18세기 후반에 제작된 퇴마부적을 순은으로 재현합니다.,2773000,616,4501,38
3415,"감각적인 친환경 빨대, eStraw - 레드 컬러 에디션",홈 · 리빙,"MOVEMENT가 제안하는 친환경 빨대 세트, 레드 컬러 에디션으로 만나보세요",6161300,616,10002,519
3416,젊은 영웅들이여 우리는 그대들을 잊지 않겠습니다.,캐릭터 · 굿즈,천한함 추모 8 주기 뱃지입니다.,5544826,616,900000,278
3417,"강아지를 위한 코코 도그 스텝, 고양이를 위한 진저 캣펀치",반려동물,PAPER POP이 반려동물을 위한 종이 제품 프로젝트를 기획했습니다.,6157800,615,10012,324
3418,"낯설고도 친숙한 무속 신화, 신입차사를 위한 <구천안내서>",출판,신입 차사가 되어 한국 무속 신화 세계를 여행하세요.,36940000,615,6000000,1018
3419,"[앵콜] 포근함을 함께 나누는 봄, 식스삭스 양말패키지",잡화,양말브랜드 식스삭스입니다. 봄을 기다리며 컬러감 있는 양말을 선보이려고 합니다.,3693500,615,6005,184
3420,(웹툰) 스케치업 디자인 프로젝트 No.1 _ 음식,웹툰 리소스,안녕하세요. 그래픽 디자인팀 '투닥토닥' 입니다.,6150000,615,10000,205
3421,"이슬 맺힌 민트와 은방울꽃 향, <Sleeping dew>",향수 · 뷰티,아침 이슬이 맺힌 민트와 은방울꽃 숲 속에서 잠든 님프들의 살내음,6148200,614,10013,133
3422,한복 감성을 담은 예쁜 일상 '한복프릴백',잡화,양단과 노방 한복원단을 활용하여 한복 고유의 감성과 무드를 담은 한복프릴백입니다.,1843900,614,300000,37
3423,다쿠아즈 추석 선물 세트:구름의 폭신함을 소중한 사람에게,푸드,미나티 다쿠아즈 5종세트로 추석을 특별하게 소중한 사람을 위해 마음을 전달하세요:),6146000,614,1000000,158
3424,펫하우스 드라이룸 따로 쓰세요? 이제 아베크 하세요,테크 · 가전,"보이지 않는 미세먼지, 곰팡이 포자, 집먼지 진드기 등을 제거해 반려가정의 건강을 지킵니다",61440000,614,100065,144
3425,티 소믈리에가 더 맛있게 만든 나주 이야기 '나주 블렌드',푸드,"나주의 숨은 매력, 블렌딩 티로 느껴보세요! 전문가들이 만든 블렌딩 티 NAJU BLEND",6142000,614,10003,357
3426,빛나는 할리우드의 향기를 담은 '샹티',향수 · 뷰티,할리우드의 감성을 프루티 플라워 향기로 담아냈어요. 오늘도 샹티하세요.,3071000,614,5001,94
3427,<카늘레> 전문 레시피북. 국내 최초 출간 프로젝트!,푸드,요즘 가장 핫한 디저트! <카늘레> 전문 레시피북 국내 최초 출간 프로젝트!,3069100,613,5006,129
3428,"千年의 자개 사랑, 스티커에 담다!",캐릭터 · 굿즈,"천년의 사랑과 궁중 문화를 담은 천연 자개, 스티커로 한 걸음 더 빛나는 일상을 만들다.",6137500,613,1000000,137
3429,딜라이트 게임북 - 시즌3,보드게임 · TRPG,다양한 일러스트와 테마로 재미를 선사하는 딜라이트 올컬러 게임북 세 번째 프로젝트입니다.,12274000,613,20022,443
3430,맛도 이쁨도 뚠뚠! 피카타임 아메리칸 쿠키 세트,푸드,아메리칸쿠키 선물세트,3067500,613,5004,66
3431,만화에 최적화 된 학생 엑스트라,웹툰 리소스,만화에 어울리는 그림체로 정성껏 제작한 엑스트라로 마감걱정 끝! 작업속도 UP!,6134000,613,10006,101
3432,"보석의 향기에 관하여. "" 에메랄드""와 ""헬리오도르""",향수 · 뷰티,모든 사람들이 열광하는 보석에 대한 향기를 표현한 프로젝트 입니다.,6128500,612,10013,132
3433,< 날고 싶은 거북이 > 함께 행복한 사회를 그려요:),잡화,장애인 아티스트의 그림이 담긴 디자인제품으로 일상 속에 가치를 더해보세요!,6124000,612,10006,108
3434,"고민의 시간《잠이 오지 않는 밤에도, 내가 함께 있어줄게》",출판,53만 구독자들을 위로한 ASMR 크리에이터 미니유의 고민 일기장,12247770,612,20012,681
