,title,current_funding_amount,percentage,target_funding_amount,supporter
9563,"드뷔시만의 색채를 그리다, <Music Suite>",1015000,202,5024,55명
9564,끝끝내 다다를 그 봄날을 위해 6.25 기억 뱃지,1015000,202,5024,78명
9566,"다시, 기억리본",1015000,202,500000,104명
9567,지혜와 행운의 시간을 선물하세요! Animal Clock,1015000,202,500000,28명
9568,"5,800원에 담은 문학과 사회적 가치, '펄프' 창간호",1516300,202,747000,150명
9569,"한국랟펨 일러스트북 ""XX:WHO ARE WITH US""",14003338,202,6900000,711명
9570,"아, 여행가고 싶다. 지금 당장은 아니지만, ‘언젠가’.",3044000,202,15069,89명
9571,한국전쟁 참전용사를 찾아서,20286000,202,10000000,153명
9572,"김준규 작품집 <다시, 나를 찾다 - 흙을 만지며>",1014300,202,5021,13명
9573,라이프스타일별 맞춤 신용체크카드 설계서 <카밋>,608504,202,3012,105명
9574,소매를 떼고 붙이고?! 이런 맨투맨 본 적 있나요?,2434000,202,12049,33명
9575,페미니즘 잡지 BOSHU11호&WOMYN ONLY DJ파티,3042500,202,15061,113명
9576,"취기 한 컵 , <사각>의 창간호 4'104",3042000,202,15059,89명
9577,"미쳐 날뛰다가(發狂) 결국, 빛을 내는(發光) <발광인간>",2028000,202,10039,49명
9578,"환경, 윤리를 입히다_레더블에스의 첫 티셔츠",2028000,202,1000000,32명
9579,"여성극단 ‘스탑 키스 프로젝트’의 창단공연, <스탑 키스>",1014000,202,500000,74명
9580,<올라! 쿠바>가이드 북 출간,6082555,202,3000000,181명
9581,"미술가들, 고양이에 대해 쓰다 <나는 있어 고양이>",4054888,202,2000000,198명
9582,[YOYO] 데코라 일러스트 북,5068300,202,2500000,172명
9583,몽글몽글한 감성을 담은 엽서북 <forever cute>,1419000,202,7024,42명
9584,"따뜻한 봄, 여성을 위한 식빵 파우치",1013500,202,5017,44명
9585,[모찌] 아기새 피코 인형 드디어 등장,4054000,202,20069,189명
9586,속 편하고 산뜻하게 7일의 약속 : 닥터대장미인,2027000,202,10034,29명
9587,URC의 EP앨범 AURORA 발매 기념 굿즈,608000,202,300000,20명
9588,2018 서고운 작품집 <Outlanders 아웃랜더스>,5065700,202,2500000,158명
9589,컬러 캡쳐 I 컬러 타로 I 컬러 명상을 위한 색채카드,2026000,202,10029,21명
9590,"핏줄신화를 넘어, <그렇게 가족이 된다>",4052000,202,20059,116명
9591,가장 가까운 곳에 행운을! '썬캐쳐 귀걸이',1013000,202,5014,35명
9592,"[카메랄트 전시] ‘들여다본, 다면’ 展",1823000,202,9024,94명
9593,"청년 여성들의 창당프로젝트 이야기 , 『당 만드는 여자들』",4051000,202,2000000,138명
9594,매일 착용하고 싶은 심플파이프 은목걸이,405000,202,200000,29명
9595,멸종위기동물들을 구해주세요 두번째! 에코백 프로젝트!,2024300,202,10021,82명
9596,내가 살아남는 법! 아니...내가 살아가는 법! 2,1417000,202,700000,52명
9597,봄이 오면 스카프를 하겠어요 '일러스트레이션 실크 스카프',3036000,202,15029,23명
9598,좋은 디자인을 위한 로고 1000,8096000,202,40079,388명
9599,수돗물만 넣으면 99.9% 살균과 탈취를 동시에,2024000,202,10019,23명
9600,may I have a skinny latte please,2024000,202,1000000,72명
9601,"우리의 여정은 계속됩니다, 온고잉 '2021 달력' 굿즈",1214000,202,6009,31명
9602,느림양과 느림군을 응원하는 도자마그넷,607000,202,3004,27명
9603,당신의 상상력으로 채우는 책 'YOUR PAGE',1416200,202,7010,93명
9604,<내가 있던 더블린>,2022600,202,10012,81명
9605,집사야 여행가냥 :: 냥냥왕국 외교관 여권케이스,1618000,202,8009,42명
9606,"감성 담은 기념일 선물, 사랑스러운 레터링 케이크 클래스",2022400,202,10011,26명
9607,“우리는 매일을 여행하고 있어요.” <Pieces>,2022398,202,10011,60명
9608,"숲속 깊은 곳에 위치한 힐링 카페, <카페 포레스트>",6067000,202,3000000,477명
9609,"말대꾸 에세이, 글쎄 (Strong Words)",4044393,202,20021,159명
9610,"긍정적으로 바라보는 법, '나쁘지만은 않네' 전시회 전작품",1572777,202,7786,79명
9611,기계는 어떻게 움직일까?,4044000,202,2000000,145명
9612,"일러스트, 웹툰을 위한 꽃, 자연물 소재/브러쉬/템플릿",2022000,202,10009,54명
9613,"단편영화 '다시 만난 오늘', 지금 그리운 사람이 있나요?",1011000,202,5004,28명
9614,"당신의 귀가 편안한 귀걸이, '실버 클라이머'",2022000,202,10009,68명
9615,웹툰 스케치업 - 소규모 카페와 사무실-,2022000,202,10009,45명
9616,수납 그리고 디자인 모두 갖춘 클러치백,1011000,202,5004,19명
9617,"타라북스, 세상에서 가장 아름다운 책을 만드는 사람들",6065400,202,30026,200명
9618,"성별이분법에 저항하는, 트랜스젠더퀴어 금속배지와 스티커",2021500,202,1000000,153명
9619,청소년 여성 퀴어 영화 <파리와 지옥>,3032000,202,15009,78명
9620,지속 가능한 콘텐츠 사업가가 되는 방법,3032000,202,15009,160명
9621,"송호 1인 독립출판 <호오북스> sf 단편소설, 그림책",1010500,202,500000,50명
9622,이웃에게 따뜻한 겨울을 나눠주세요 : 연탄 에코백&뱃지,1010500,202,5002,47명
9623,Wicce ~위체~,3030000,202,15000,106명
9624,"파리의 잊혀진 독립운동가, 서영해",2020000,202,1000000,54명
9625,[소셜플레이] 취미가 필요한 당신을 위한 DIY원목조명키트,606000,202,3000,11명
9626,'가려진 역사 빛을 드리우다' 법정사항일운동 알리기,1010000,202,5000,82명
9627,김무냥 사진,303000,202,1500,21명
9628,탭과 함께 열정을! 연극<Dancing all night>,1010000,202,500000,21명
9629,'선경'의 1집 앨범 <녹는점>과 가사집,5050000,202,2500000,73명
9630,"환경을 생각하는 사람들을 위해, <쿡이> 프로젝트",2019900,201,10049,80명
9631,바다―레코드 : 당신의 제주살이는 안녕하십니까?,3635000,201,18084,94명
9632,"당신과 나의 기억, 빈티지 호텔 뱃지",6058300,201,30140,145명
9633,레진코믹스 <너의 HEART를 나에게 줄래?> 단행본 제작,6058000,201,30139,193명
9634,블로그를 키워보자! 마케팅 & 수익편 노하우 총정리 PDF,1009500,201,5022,77명
9635,"사랑의 순간과 삶의 목격을 담다, 수필집 <각자의 꽃말>",4038000,201,20089,160명
9636,이화여대 총연극회 2021 가을 정기공연 <하멜린>,2019000,201,10044,116명
9637,"냥덕집사 , 젤리냥의 심쿵달달 Cat Toy, 젤리포!!",4037000,201,2000000,128명
9638,딸에 대하여 <우먼카인드> vol.15,4036000,201,20079,122명
9639,계-속 독서하고 싶은 '책갈피',403500,201,2007,35명
9640,책의 권수와 두께에 따라 조절할 수 있는 '북파우치',2017000,201,10034,80명
9641,"작가의 바람을 담은 스카프, <The Light>",4033500,201,2000000,46명
9642,활자모ㅡ본문용 활자가족 <온하루>,6050000,201,3000000,77명
9643,"가죽으로 세뱃돈 봉투,미니 카드지갑 만들기 diy키트",605000,201,3009,15명
9644,12회 광주여성영화제 < 선을 넘다 >,6049000,201,3000000,205명
9645,초기 우울증세 극복 일기장 '마음쾌차 일기장',1613000,201,8024,109명
9646,"당신은 모르지만, 성공한 사람들은 아는 인생꿀팁 14가지",1026000,205,5004,57명
9647,"스토리지북앤필름의 신간 세 권: 책, 책방 그리고 짝사랑",4032000,201,20059,155명
9648,쉽게 구할 수 없는 '사업가의 기록',2016000,201,10029,47명
9649,"내 나이 서른, 행복을 향해 탈출했다.",2016000,201,1000000,104명
9650,찐 주얼리 스타일링 가이드북 <주피터>,8062000,201,4000000,316명
9651,"편안하게, 감도있게 eneue 시그니처 맨투맨&머플러",2015000,201,1000000,25명
9652,단편영화 <이빨아픈 사람들 (The toothachy)>,1612000,201,800000,86명
9653,"위태로운 세계, 삶의 끝자락 단편영화 <연옥>",2015000,201,10024,92명
9654,"환상과 진실을 비추는 거울, 작고 정교한 거울뱃지.",10102500,202,50012,304명
9655,택배 기사 처우 개선 프로젝트 <딩도움>,2416850,201,1200000,191명
9656,동심을 가진 어른들을 위한 DIY 미니어처 인형가구 KIT,2014000,201,10019,15명
9657,여성 8인의 바닷가 마을살이 기록 <이토록 다정한 세계>,1007000,201,5009,43명
9658,당신을 '황제들의 로마'로 초대합니다,20140000,201,10000000,205명
9659,그림 설명 따라 트리 하우스 만들기 <나무 위에 집 짓기>,2014000,201,1000000,108명
9660,마법사와 대학생 <골렘연성학과>,4028000,201,20039,359명
9661,여름홈카페:[살구 병조림]X[살구 시럽 베이스]X[살구잼],1007000,201,5009,33명
9662,[한국풍]꽃과 보석이 있는 별자리 이야기,16111500,201,80156,530명
9663,시간당 11만원 버는 블로그? 네이버 인플루언서 비법 강의,1611000,201,8014,38명
9664,Tido Kang (시도강) 정규 1집 제작,6041000,201,3000000,119명
9665,오늘도 버텨내고 존재하는 당신께 드리는 노래,11071777,201,5500000,107명
9666,[바다살려-굿즈] 안녕한 바다를 위하는 컷더트래쉬 첫 출항,2013000,201,10014,53명
9667,영장류학자들이 만든 야생 긴팔원숭이 연구 굿즈,16100000,201,8000000,248명
9668,필름 1롤 쓴 여행 <내가 느낀 것을 당신도 느낀다면>,805000,201,400000,42명
9669,"차이 시리즈 1, <페미니스트가 된 남자들> 인터뷰집",3018500,201,15017,119명
9670,"너에게 찾아주고 싶은 여유,이유,자유 『너.여.유』",3018000,201,15014,148명
9671,"어버이날 선물, 우리 효의 상징 복사꽃 뱃지",1006000,201,5004,45명
9672,자작나무로 만든 미니멀리즘디자인 무전력우드스피커,603500,201,3002,24명
9673,세상의 설렘을 찾아가는 연극 <Pit-a-pat>,1609000,201,800000,75명
9674,[공식] 메이플스토리 OST : Black Heaven,29162200,201,14500000,"1,012명"
9675,"우리들의 Blue, 시집 <그럼에도 나는 당신이 보고싶다>",1005525,201,5002,55명
9676,아프리카의 꿈을 응원하다 박삼덕 수채화 X 네마백,3015900,201,15004,95명
9677,"당신의 휴식을 바라며, < 러버블오잉 여행가방 >",2010500,201,1000000,40명
9678,지속적인 향기를 담은 세상에 없던 캘린더 / 디자인 포스터,2010500,201,10002,38명
9679,"불안, 그대도 나와 같은지 - 잡지 ≪언니네마당≫ 12호",1608000,200,800000,90명
9680,클립스튜디오 엑스트라 브러쉬,1005000,200,5025,67명
9681,어른도 좋아하는 그림책 [고양이씨앗],2412000,200,1200000,90명
9682,달을 품은 호수의 기록 : 향수 & 잉크 & 굿즈,9043000,200,45215,184명
9683,"당신을 위한 인생에세이, <잘 지내나요, 내 인생>",4019000,200,20095,153명
9684,엉뚱하지만 뼈 때리는 말 대잔치 - 『그래봤자 꼴랑 어른』,4019000,200,2000000,157명
9685,"벌칙이 필요할땐, 서바이벌 벌칙카드",2009500,200,10047,134명
9686,R. 키쿠오 존슨의 ≪나이트 피셔≫(2005) 출간,8036000,200,40180,298명
9687,세상편한 핸드메이드 홈웨어! 기분까지 새롭게 갈아입자,2009000,200,10045,19명
9688,평화롭고 느슨한 문예공동체 독립문예지《베개》,4018000,200,20090,146명
9689,나는 편견이 없는 사람일까? - 나를 돌아보는 매거진,1406000,200,700000,65명
9690,'모찌'의 쫀득함을 담은 귀여운 '모찌냥',12048689,200,6000000,437명
9691,사지 말고 붙이세요! '구슬 다이어리 키트',1004000,200,5020,37명
9692,"내 안에 잠든 나를 깨우다 <다시, 내 인생>",2008000,200,10040,72명
9693,Fashion.or? 패션과 다양한 이야기를 담은 잡지,1003704,200,500000,56명
9694,<상어 사전> 우리들이 잘 모르는 상어에 관한 이야기,8029000,200,40145,331명
9695,'현타'의 순간을 포착한 짧은 이야기들 <현자타임>,1003600,200,5018,45명
9696,"실패한 자들의 작은 복수, <도망친 곳에서 만난 소설>",2007000,200,10035,71명
9697,월한강청록 11화,602000,200,300000,26명
9698,그래픽 소스 _ 한국인이 좋아하는 전통문양,2006000,200,10030,35명
9699,단편영화 <당신의 시간에서>,2005875,200,1000000,61명
9700,<그릉 그릉 그릉> 고양이가 쏟아지는 고양이 액티비티북,6017000,200,30085,201명
9701,조선공주의 생애와 이야기 <화주집요 : 조선공주편>,10027000,200,50135,525명
9702,쉿! 당신만의 비밀. 손 위로 날아온 요정 이야기,2005000,200,1000000,12명
9703,"마음에 담은 <안녕, 미워했던 나의 두 번째 엄마>",2005000,200,10025,63명
9704,왜 나는 너와 헤어지는가,2005000,200,10025,55명
9705,다크판타지 생존RPG '유어 블라이트',6013000,200,3000000,127명
9706,당신을 설레게 했던 여행은 무엇이었나요?,1002000,200,5010,30명
9707,골드. 그리고 진주,1002000,200,5010,32명
9708,펫그린 배변박스: 반려견을 위한 친환경 배변솔루션,10018000,200,50090,145명
9709,과자전 LOVE&THANKS 아티스트 콜라보 엽서,601000,200,300000,51명
9710,"세상에 있는 모든 미소를 위한 쏘쏘한 여행 '미,쏘쏘'",1602455,200,800000,35명
9711,"고요한 단편집 사랑 3부작, [기계아이의 노래]",2003000,200,10015,115명
9712,세상을 향한 여성들의 이야기 '나는 단절되지 않았다',2003000,200,10015,44명
9713,"뻔~한 제주는 이제 그만, 우리끼리 즐기는 요트 풀패키지",1422000,200,7110,3명
9714,"'문구점 응'의 첫번째 문구 작품, <캔버스 플래너>",3004000,200,15020,143명
9715,나와 너를 위해 시작된 이야기. 연극 <Kill : Me>,801000,200,400000,56명
9716,음메에~~ 책상 위 웃음지뢰! 오늘의 짤 #2021캘린더,1001000,200,5005,64명
9717,메이플스토리 메이저 타로카드 세트,1001000,200,500000,18명
9718,세상에서 가장 귀여운 새. 오목눈이 자수스트랩키링&자수팔찌,1001000,200,500000,47명
9719,스포츠 일러스트 스티커,2002000,200,1000000,46명
9720,잊혀진 '국가기념일'을 알리는 2016 '샥스핀' 달력,2002000,200,10010,79명
9721,초콜릿으로 떠나는 제주여행: 제주호지&말차 파베 초콜릿,1301200,200,650000,37명
9722,가구 대물림 프로젝트 <플로팅 램프 선반>,8007000,200,4000000,46명
9723,"보호소년, 축구를 통한 변화의 기적!",20097000,200,10040000,134명
9724,"나의 시선을 고스란히 담다, 세계일주달력 & 사진엽서",4003000,200,2000000,72명
9725,이미지를 읽는 다양한 실험 <바다를 읽는 방법>,800500,200,4002,32명
9726,COVER YOU 작지만 당신을 감싸주는 순무,2001000,200,10005,52명
9727,유하나 첫 EP앨범 [작고 희미한] 발매,2001000,200,10005,63명
9728,미스터리 다크 판타지 비주얼 노벨 『일루시온』,20006000,200,10000000,369명
9729,"손으로 하나씩 정성스레 , 핸드메이드 양털가방",100000,200,500,2명
9730,음악다방 프로젝트 vol.2 <커피와 디저트>,2000000,200,10000,48명
9731,"결핍된 시선이 향하는 곳, <현관 앞에서>",1000000,200,500000,32명
9732,판타지 프로젝트 no. 02 - 바이킹 도시,2000000,200,10000,25명
9733,나만의 정원을 만드는 보드게임 <플라워 가든 : 가을>,1000000,200,500000,50명
9734,제철 먹거리를 만나는 새로운 방법 [제철 잡화 꾸러미],1000000,200,5000,33명
9735,"20분의 위로 에세이, 영화 <비가 그치면 새 길이 난다>",3000000,200,15000,70명
9736,"버려진 청바지에 생명을 불어넣다, 'Blue Vida'",400000,200,200000,26명
9737,"마음을 전하는 토닥토닥, 토닥카드",400000,200,2000,25명
9738,잇선 - 뚜리빼 2권 만화책 제작,10000000,200,50000,438명
9739,"""초등학생이 좋아하는 글쓰기 소재 365"" 정식 출간",2000000,200,10000,104명
9740,싱글샷 픽션 - 사고실험 SF 「날개와 아이오딘」,200000,200,1000,24명
9741,어버이날 캘리그라피 메세지 담은 프리져브드 카네이션 액자,660000,200,3300,17명
9742,청소년 단편영화 <온 에어>,1000000,200,500000,32명
9743,창작공연단 울림의 가족소통 프로젝트 제1탄 자부심,1000000,200,500000,1명
9744,"길고양이의 건강한 묘생을 위해 For Cat, Pocket",2000000,200,1000000,226명
9745,나는 페미니스트다,2000000,200,10000,141명
9746,독거노인을 위한 따숨이,600000,200,300000,31명
9747,팟버워치,1000000,200,5000,43명
9748,"3가지 얼굴을 한 <변조의 비누향> 망고,플라워,새벽숲길",1399900,199,7034,59명
9749,"날씬하게, 한 입에 쏘옥! 레인보우 thin카롱",999900,199,5024,19명
9750,"이코믹스 <미드나잇 파트너> 1,2권 단행본 제작",5997777,199,3000000,176명
9751,소중한 마음을 전하고 보관하는 노트와 편지지,999500,199,500000,35명
9752,해피해피뉴이얼 보석양갱과 흑당커피,1999000,199,10045,61명
9753,싼데 있어보여! 다마셔스 추석선물세트,1998100,199,1000000,57명
9754,판타지 및 무협 동양전통무기 1탄(장비 및 공성무기),1998000,199,10040,39명
9755,코디해줘 메이플 캡,2997000,199,15060,86명
9756,Colors of the World 일러스트 탁상용 달력,1558000,199,7829,51명
9757,"건강한 속옷 입기를 위한, 속옷 전용 세제",1996000,199,10030,93명
9758,안전하고 잘씻기는 노인용 선크림 만들기,1996000,199,1000000,50명
9759,여성예술가 11인의 이야기 <당신은 어떤 예술가인가요?>,3393000,199,17050,120명
9760,"드러나지 않은 암흑의 산 < 쓰레기산 뱃지 , 드링크백 >",798000,199,400000,41명
9761,모두의 숲 속 동물들,1995000,199,10025,83명
9762,"당신은 정말 믿을 수 있나요, 프시케",1596000,199,800000,59명
9763,"나를 찾는 시간, 힐링 만다라 KIT [유유자점]",997000,199,5010,24명
9764,누구에게나 자기의 별이 있다. 아빠가 딸을 위해 만든 향수,1994000,199,10020,50명
9765,"두고두고 계-속 보고싶은 그림책, 애뽈",3986000,199,20030,168명
9766,"달콤 상큼한 청포도 맛을 지닌 콜드브루, 파나마 파밀라",996000,199,5005,35명
9767,"<섬에 뿌리있는 것들> 제주 엽서북, 패브릭 포스터",2389500,199,12007,47명
9768,당신의 이야기를 담을 수 있는 문구 키트,995500,199,500000,57명
9769,"하루를 색다르게, 망대롱 케이스",318500,199,1600,25명
9770,가죽라벨에 나만의 이니셜을 새긴 겨울장갑,995300,199,5001,42명
9771,카카오페이지 <남친있음> 1~4권 단행본 제작,13933000,199,70015,275명
9772,2021 달력 <산을 오르며 나를 위로하네>,1592000,199,8000,80명
9773,"소서팔사 홈카페 키트, 연못의 연꽃 구경하며 더위를 날려요",1990000,199,10000,92명
9774,Intothescene Fabric Poster #1,995000,199,500000,21명
9775,"세상에 단 하나뿐인 수공예 오르골, '레터링 오르골'",597000,199,3000,11명
9776,와일드 웨스트 호텔 : 서부의 무법자들,3978700,198,20094,202명
9777,"""잘때도 차고잘래"" My daily texture ring",1988500,198,10042,30명
9778,"여행을 사랑하는 당신에게, 150505 느린여행.",5964001,198,3000000,177명
9779,'비행가기 싫다고!' 어쩌다 승무원이 된 자의 B급 에세이,994000,198,5020,61명
9780,내게 다시 찾아온 따뜻함 100% 캐시미어 머플러,994000,198,500000,14명
9781,[신화를 담다] 영원히 시들지 않는 투톤 프리저브드 장미,1987500,198,1000000,32명
9782,하드코어테크노 컴필레이션 앨범 MESS-GAME Vol.4,3974661,198,2000000,77명
9783,더 따뜻한 겨울나기 : 캐시미어 니트로 마음을 전해요.,4968000,198,2500000,110명
9784,봄날의 고양이를 좋아하세요? 봄꽃과 고양이 뱃지&에코백,5960000,198,30101,250명
9785,전시를 선물합니다,19855100,198,10000000,446명
9786,"남들과 조금은 다른 한국적인 감성, 일월오봉도 숄더백",5956100,198,30081,159명
9787,간호사가 만드는 뉴스! <FORNURSE> 창간,9925000,198,50126,150명
9788,"이제 당신의 이야기가 담길, <봉제야달려라>의 블라우스",1985000,198,1000000,67명
9789,"자연의 신호와 생명관계, ⌈Life Signal⌋ 사진책",4962000,198,2500000,68명
9790,<테스트테스트 2020 일력노트> 일 년을 한 권에,4960000,198,25050,166명
9791,"당신을 위한 그림엽서,'당신을 위한 식탁'",297500,198,1502,14명
9792,"동양의학에 기반한 건강한 향기, 오프그레이 룸스프레이",2975000,198,1500000,90명
9793,갈라파고스 섬을 담은 '물개컵',595000,198,3005,37명
9794,노키즈존에 맞서는 YES KIDS 뱃지,595000,198,3005,52명
9795,12가지 수제디저트 가득 '디저트팩',2975000,198,1500000,77명
9796,"퇴근 후, 영어회화극장 <홈클래스편> 5기 모집",3966000,198,20030,53명
9797,'조미료크로스'X'김나연' HERSTORY 프로젝트 앨범,1586000,198,8010,40명
9798,크툴루 세계관 추리 <아컴 미스터리: 광기로 물든 사건집>,59475000,198,30000000,"1,099명"
9799,겹겹 - 지울 수 없는 흔적,6936000,198,3500000,41명
9800,"마음으로 나누는 저소득층 아동 지원, '토닥토닥 도담학교'",594500,198,3002,62명
9801,[공식] 말랑말랑 핑크빈 허그 바디필로우,19017000,198,96045,579명
9802,"중년여성의 이야기, 단편 영화 <김미선>",1980888,198,1000000,45명
9803,[독도팔찌] The Catcher_독도의 여름을 기다리다,2030077,198,1025000,100명
9804,수제본으로 만나는 초판본 시집,1584200,198,8001,38명
9805,J-Pocket in Bag (or just a Bag:),2970000,198,15000,29명
9806,깊은 밤 그리고 '행성책갈피' by.soso,198000,198,1000,12명
9807,밴드 포크스푼 정규1집,2970000,198,1500000,81명
9808,우주를 담은 초콜릿을 내 손으로,990000,198,500000,7명
9809,Vuetiful Korea 네번째 모임,1979000,197,10045,145명
9810,여성 캐릭터를 탐구하는 영화 잡지 ｜SECOND｜ 2호,11873000,197,6000000,573명
9811,레즈비언 연애 만화 <우리우니>,2967000,197,15060,165명
9812,치즈라이브3 (CHEESE LIVE 3),3955000,197,2000000,47명
9813,유튜버의 삶을 그린 시트콤 만화 Shape of Shame,692000,197,3512,33명
9814,"디자인브랜드OWN - 완벽한 당신의 데스크, 더블체크리스트",593100,197,3010,40명
9815,Remember the Truth의 강제징용 뱃지,1977000,197,10035,181명
9816,"'NO'보다 강한 말, ""예스 플리즈"" by 에이미 폴러",5930700,197,3000000,195명
9817,"우리들의 예술박물관, 영화아트잡지 <MUSE-UM> 3호",2372000,197,12040,103명
9818,"[웹툰 스케치업] 현대 무기 ""총"" 시리즈 3회차",2964000,197,15045,43명
9819,"발달장애인의 일상을 담다, COMMOWEAR 프로젝트RE;",1976000,197,1000000,70명
9820,책방 폐업기 <한숨의 기술> 출판,1975500,197,1000000,89명
9821,2021 하루 10분 습관 갖기 [허니슬립 숨],987500,197,5012,17명
9822,"여성을 위한 당신의 첫 넥타이, 오브젝타이",1580000,197,8020,45명
9823,활자모—한글폰트 <산유화>,9874000,197,50121,148명
9824,[백지PPT 극복노트] 예비/현직 마케터용 PPT 치트키!,1466000,195,7517,69명
9825,"따뜻하고 달콤한 그림책 : '오랜만이야, 잼!'",1974000,197,10020,41명
9826,"[월간 이감각] 놀이판을 굴러보세, 춤판 흥(興)뱃지",1973500,197,10017,96명
9827,모든 아이들은 행복해야합니다 : 아동학대방지 뱃지/포스트잇,1184000,197,600000,97명
9828,좌절금지 <새로운 시각으로 인생을 리디자인 하라>,1973000,197,1000000,75명
9829,스물넷 신규 초등교사 이야기 <선생님도 선생님이 처음이라>,1973000,197,1000000,83명
9830,홍찬미 1st 미니앨범,4928002,197,2500000,125명
9831,"낭만이길 다이어리 '曙光 : dawnlight, 새벽빛'",14780904,197,75029,391명
9832,"맛있는 그림을 품은 알, Egg Book",3941500,197,2000000,106명
9833,다다르다 : 연세대학교 생활디자인학과 제20회 졸업전시회,1970000,197,1000000,34명
9834,넘어진 역사 바닥에서 피워낸 글꽃들 <빗물 그 바아압>,9850000,197,5000000,214명
9835,잃어버린 내 삶의 균형 잡기 연습,985000,197,5000,37명
9836,"다채로운 색의 제주 , 귀걸이 영감을 얻다 '제주 팔렛뜨'",985000,197,5000,40명
9837,글 합작 프로젝트 무례한 청춘 9월호,196911,196,1004,15명
9838,색다른 전통 <네가지 색상 칠보 무늬 보보백>,984500,196,5022,21명
9839,축제를 내 손안에! '2020춘천아트페스티벌-홈 딜리버리',1968700,196,10044,75명
9840,"20대 여자 둘의 고민 기록, <여생>",5904000,196,30122,281명
9841,"[고양이와 동백꽃] 자수팔찌, 마스킹테이프",984000,196,500000,65명
9842,천연 다이아가 셋팅된 귀 뚫지 않아도 착용가능한 이어커프,590000,196,3010,19명
9843,홍익대학교 미화경비노동자 환경개선사업 <도깨빗자루>,4916299,196,2500000,361명
9844,"글 쓰는 아내, 사진 찍는 남편의 '방 치는 마음'",3343000,196,1700000,123명
9845,대한민국 최초 비행사 권기옥님을 담은 아이템,983200,196,5016,50명
9846,"서서 조는 정오, 다가올 오후의 시간.",983157,196,5016,64명
9847,"[새해 선물]핸드 드로잉으로 즐기는, 감성 화투",1966000,196,1000000,117명
9848,"한 해동안 여성들에게 일어난 사건을 담은, '기이한 기록'",2359000,196,12035,139명
9849,말의 세계에 감금된 것들_여성서사로 본 국가보안법 전시회,19651000,196,10000000,425명
9850,[스케치업 웹툰 배경] 세계의 무기 Part 2 장병기,3930000,196,20051,81명
9851,당신의 마음속에 내려요 <꽃비/이슬비/먹구름>귀걸이,393000,196,2005,19명
9852,홍익대 아픈냥이 병원비 모으기,982500,196,5012,109명
9853,[이지툰 웹툰배경 #2] 프로야구 클럽하우스 (훈련장),275000,196,1403,11명
9854,하운드 구조비용 모으기 굿즈!,9821000,196,50107,188명
9855,"엄마에게 보내는 에세이, <이토록 오랜 밤>",1571277,196,8016,69명
9856,"모든 동물이 행복해질 그날까지, 늑대코인목걸이",2946100,196,1500000,178명
9857,시 잡지 <일상시화>,2514000,196,1280000,90명
9858,"함께 살아가는 삶을 되찾는 것, <스너글러>",982000,196,500000,30명
9859,[페미니즘 잡지 사심] Vol.5 여성을 위한 나라는 없다,7856000,196,40081,317명
9860,최수진 아트북 <Fruity Buttercream>,7855000,196,40076,133명
9861,당신의 건강한 식습관을 향한 10주간의 산책,1963000,196,1000000,119명
9862,우리에게 봄이 올까요? : 캠퍼스 고양이를 위한 캣홀릭뱃지,1570200,196,800000,92명
9863,"시간괴물에 대한 영화 <hey, sugar daddy>",1570000,196,8010,34명
9864,투명한 비단에 스며든 염원의 색 '바람그림',981000,196,500000,18명
9865,행복한 일은 매일 있어! 곰돌이 푸 뱃지 [디즈니 정품],981000,196,5005,20명
9866,"꽃향기 가득담긴 크리스마스 선물, 에스메랄다 게이샤 커피",981000,196,5005,20명
9867,수십 년간 피어나지 못한 할머니의 꿈을 응원해주세요,1962000,196,1000000,101명
9868,"""두번째 이름을 지어 주세요."" 유기동물을 위한 볼캡",3237000,196,16515,86명
9869,단편영화 <종말의 연인>,1177000,196,600000,49명
9870,"작지만 커다란 즐거움 슬로우어스의 유리컵,패브릭포스터,키링",980700,196,5003,25명
9871,"마법의 딸기로, 땡큐 베리 스트로베리!",1961400,196,10007,55명
9872,"말씀을 기록하고 기억하고 기도하는, 말씀노트 & 달력",5001000,196,25515,210명
9873,2022년을 불태울 수 있게 도와줄 달력과 바인더,2941500,196,15007,76명
9874,사랑하는 이들 /<Cats & Dogs 포스터와 포장지>,1961000,196,1000000,24명
9875,나를 위해 가꾸는 숲 한조각(공기정화 식물),392100,196,2000,13명
9876,"처음 만들어지는, 서울시립대학교 응원가 시리즈 제작",2940324,196,1500000,133명
9877,"단순한 공간 너머의 집, <WHAT IS HOME> 엽서북",980000,196,500000,29명
9878,<어린이날 선물세트> 동그란 웃음을 위한 문구키트,1960000,196,1000000,52명
9879,타로상담에서 가장 많이 받는 질문을 위한 책,1176000,196,600000,54명
9880,"평일, 현실에 지친 당신의 얼굴은? Weekdayface",980000,196,5000,43명
9881,퇴근 후 개운하게 '책맥' 어때요?,1959100,195,1000000,39명
9882,"제11회 여성인권영화제 ‘지금, 당신의 속도로’",3917000,195,2000000,182명
9883,"비추어 이루다. 내가보는 각인목걸이.""거울목걸이""",1958000,195,10041,32명
9884,평범한 일상에 작은 일렁임을 주는 365 챌린지 다이어리,979000,195,500000,39명
9885,"진한 맛과 향으로 더위를 잊게해줄 , 케냐 카라티나 피베리",979000,195,5020,42명
9886,<BBBBBirds...!> 50종류의 새 일러스트북,3915500,195,20079,134명
9887,감염병 시대 생존수칙 <가늘게 길게 애틋하게>,3915000,195,20076,194명
