,title,current_funding_amount,percentage,target_funding_amount,supporter
323,이 기술력에 이가격? 오염&구김방지 블라우스 그리고 슬랙스,56817400,5681,500000,878명
324,진주 귀걸이를 한 소녀,17008500,5669,500000,732명
325,지겹지 않습니다. 기억하겠습니다.,23440416,5634,500000,"1,572명"
326,"텀블러부터 노트북까지, 두 손을 가볍게! '올데이 프리백'",84143500,5609,500000,"2,692명"
327,당 떨어진 일상마저 달콤하게! <아이스크림 향수>,27670400,5534,500000,441명
328,로맨스가필요해!펜트하우스+명품관+미니마트,55202000,5520,500000,647명
329,"따뜻하고 멋스럽게 입는 우리 전통, 누비 두루마기 코트",55140000,5514,500000,223명
330,스케치업 웹툰배경[호텔] 로맨스가필요해~!,54481000,5448,500000,730명
331,로맨스 판타지 보드게임! [이 로판은 제가 접수하겠습니다],54219000,5421,500000,"2,313명"
332,"[델리]크리스마스 에디션, 딸초케이크와 시나몬오렌지샹그리아",26977000,5395,500000,370명
333,구움과자 초코마로니에 4종세트,10719000,5359,500000,106명
334,'마녀의 옷장' [웹툰/일러스트] 소재 브러쉬 세트,53494000,5349,500000,"1,215명"
335,액션&판타지&하이퀄 효과Brush 모음!,53254000,5325,500000,418명
336,"일당백 손 포즈 3D (클립스튜디오, 스케치업)",53230000,5323,500000,"1,252명"
337,고급티의 진화 간편하게 마시는 10초 밀크티 & 뱅쇼,21234000,5308,500000,758명
338,"카세트MP3와 라디오의 블루투스한 만남, 레트로맨!",106114000,5305,500000,"1,607명"
339,"바다를 가득 담은 순간들, 엽서책 <물의 질감>",26270000,5254,500000,"1,323명"
340,웹툰을 위한 스케치업 프로젝트 - 번화가 2탄,26201000,5240,500000,525명
341,"전통과 함께 지키는 환경, <고려청자 도자기 빨대>",26113200,5222,500000,732명
342,티 전문가 큐가든이 만든 세상에서 제일 맛있는 밀크티3종,15606000,5202,500000,394명
343,"자연에 물든 빛깔로 적셔내다, ‘겨우살이(越冬) 털목도리’",15584000,5194,500000,313명
344,[스케치업 웹툰배경] 팀프리맨의 무협사극 배경3탄,51842000,5184,500000,406명
