,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
606,급찐급빠는 노폐물 제거부터! <꽃 품은 사해> 솔트스틱,"14,075,600",2815,"500,000",227명
607,초보자도 쉽게 따라하는 그림책 만들기 메뉴얼 A to Z,"14,073,000",2814,"500,000",889명
608,웹툰 배경 스케치업_로판 대저택과 비밀의 화원 세트,"28,103,000",2810,"500,000",237명
609,천재 시인 허난설헌의 열정을 담은 한지가죽_ 초이스 백,"33,663,000",2805,"500,000",275명
610,"작은 근정전을 내손 안에, 근정전 디자인 테이프","14,022,200",2804,"500,000",468명
611,프리지아 파우치 : 걱정없는 ‘그날’을 위해,"8,394,804",2798,"500,000",655명
612,시티팝 풍 아이돌 소재 근데 이제 사이버펑크를 곁들인,"13,963,000",2792,"500,000",324명
613,"내 살냄새는 원래 장미향이야 ""로즈 미, 달링""","13,954,800",2790,"500,000",352명
614,"[픽푸드트럭] 웹툰, 일러스트에 쓰기 좋은 음식 리소스","27,870,000",2787,"500,000",750명
615,웹툰 스케치업 - 사건25시 2탄 - 엘리베이터실,"5,550,000",2775,"500,000",110명
616,"'비트윈'의 첫번째 캐릭터 인형, <넌 나의 미니미>","83,018,010",2767,"500,000","2,177명"
617,[스케치업 웹툰배경] 무협 사극 동양풍 배경,"27,600,000",2760,"500,000",200명
